Manager,Fund,Date,Change
Gresham Investment Management,"The SAFI Strategy",2019-01-01,0.0074
Gresham Investment Management,"The SAFI Strategy",2019-02-01,0.0006
Gresham Investment Management,"The SAFI Strategy",2019-03-01,0.1003
Gresham Investment Management,"The SAFI Strategy",2019-04-01,0.024
Gresham Investment Management,"The SAFI Strategy",2019-05-01,0.0147
Gresham Investment Management,"The SAFI Strategy",2019-06-01,0.1474
Gresham Investment Management,"The SAFI Strategy",2019-07-01,0.0481
Gresham Investment Management,"The SAFI Strategy",2019-08-01,0.0568
Gresham Investment Management,"The SAFI Strategy",2019-09-01,-0.0272
Gresham Investment Management,"The SAFI Strategy",2019-10-01,-0.009
Gresham Investment Management,"The SAFI Strategy",2019-11-01,-0.009
Gresham Investment Management,"The SAFI Strategy",2019-12-01,0.0322
Gresham Investment Management,"The SAFI Strategy",2020-01-01,0.0013
Gresham Investment Management,"The SAFI Strategy",2020-02-01,-0.0598
Gresham Investment Management,"The SAFI Strategy",2020-03-01,-0.0766
Gresham Investment Management,"The SAFI Strategy",2020-04-01,0.0237
Gresham Investment Management,"The SAFI Strategy",2020-05-01,0.0075
Gresham Investment Management,"The SAFI Strategy",2020-06-01,-0.0058
Gresham Investment Management,"The SAFI Strategy",2020-07-01,0.031
Gresham Investment Management,"The SAFI Strategy",2020-08-01,-0.0162
Gresham Investment Management,"The SAFI Strategy",2020-09-01,-0.0126
Gresham Investment Management,"The SAFI Strategy",2020-10-01,0.0047
Gresham Investment Management,"The SAFI Strategy",2020-11-01,0.0012
Gresham Investment Management,"The SAFI Strategy",2020-12-01,0.0343
Gresham Investment Management,"The SAFI Strategy",2021-01-01,-0.0431
Gresham Investment Management,"The SAFI Strategy",2021-02-01,-0.0444
Gresham Investment Management,"The SAFI Strategy",2021-03-01,0.0406
Gresham Investment Management,"The SAFI Strategy",2021-04-01,-0.0373
Gresham Investment Management,"The SAFI Strategy",2021-05-01,0.0384
Gresham Investment Management,"The SAFI Strategy",2021-06-01,0.0132
Gresham Investment Management,"The SAFI Strategy",2021-07-01,-0.0229
Gresham Investment Management,"The SAFI Strategy",2021-08-01,0.0195
Gresham Investment Management,"The SAFI Strategy",2021-09-01,0.0661
Gresham Investment Management,"The SAFI Strategy",2021-10-01,0.1272
Gresham Investment Management,"The SAFI Strategy",2021-11-01,-0.0471
Gresham Investment Management,"The SAFI Strategy",2021-12-01,0.0257
Gresham Investment Management,"The SAFI Strategy",2022-01-01,0.0081
Gresham Investment Management,"The SAFI Strategy",2022-02-01,0.0394
Gresham Investment Management,"The SAFI Strategy",2022-03-01,0.054
Gresham Investment Management,"The SAFI Strategy",2022-04-01,0.0918
Gresham Investment Management,"The SAFI Strategy",2022-05-01,-0.0279
Gresham Investment Management,"The SAFI Strategy",2022-06-01,0.0875
Gresham Investment Management,"The SAFI Strategy",2022-07-01,-0.0548
Gresham Investment Management,"The SAFI Strategy",2022-08-01,0.0113
Gresham Investment Management,"The SAFI Strategy",2022-09-01,0.0528
Gresham Investment Management,"The SAFI Strategy",2022-10-01,-0.0084
Gresham Investment Management,"The SAFI Strategy",2022-11-01,-0.0526
Gresham Investment Management,"The SAFI Strategy",2022-12-01,-0.0141
Gresham Investment Management,"The SAFI Strategy",2023-01-01,0.0098
Gresham Investment Management,"The SAFI Strategy",2023-02-01,0.0143
Gresham Investment Management,"The SAFI Strategy",2023-03-01,-0.1041
Gresham Investment Management,"The SAFI Strategy",2023-04-01,-0.0001
Gresham Investment Management,"The SAFI Strategy",2023-05-01,0.0047
Gresham Investment Management,"The SAFI Strategy",2023-06-01,0.0292
Gresham Investment Management,"The SAFI Strategy",2023-07-01,0.0285
Gresham Investment Management,"The SAFI Strategy",2023-08-01,-0.0076
Gresham Investment Management,"The SAFI Strategy",2023-09-01,0.0202
Gresham Investment Management,"The SAFI Strategy",2023-10-01,0.0023
Gresham Investment Management,"The SAFI Strategy",2023-11-01,-0.0342
Gresham Investment Management,"The SAFI Strategy",2023-12-01,0.0495
Gresham Investment Management,"The SAFI Strategy",2024-01-01,-0.0136
Gresham Investment Management,"The SAFI Strategy",2024-02-01,0.0304
Gresham Investment Management,"The SAFI Strategy",2024-03-01,0.0331
Gresham Investment Management,"The SAFI Strategy",2024-04-01,0.0168
Gresham Investment Management,"The SAFI Strategy",2024-05-01,0.0183
Gresham Investment Management,"The SAFI Strategy",2024-06-01,-0.0487
